q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.0005000499841609158,0.0010000998432843319,0.0015001494523327796,0.0020001986862688537,0.0025002474200552416,0.003000295528654756,0.003500342887030367,0.9999998749749989,1.9999989998000534,2.9999966243255316,3.999991998402428,4.999984371882673,5.999972994619448,6.999957116467499,-0.0005000499841609158,-0.004000399373137327,-0.013501345070995017,-0.03200317898030166,-0.06250618550138104,-0.10801063903157121,-0.171516801464488
0.0010000998432843319,0.0020001986862688537,0.003000295528654756,0.004000389370145231,0.005000479210446472,0.006000564049268672,0.007000642886327031,0.9999994999000267,1.999995999201214,2.999986497309724,3.9999679936417234,4.999937487628385,5.999891978720889,6.999828466395425,-0.0010000998432843319,-0.008000794745075415,-0.027002659757892802,-0.0640062299223237,-0.1250119802611618,-0.2160203057736722,-0.34303150143002453
0.0015001494523327796,0.003000295528654756,0.004500434852962723,0.006000564049268672,0.007500679741607384,0.009000778554044029,0.010500857110681768,0.9999988747751772,1.9999909982064827,2.999969618975367,3.999927985813926,4.999859347530223,5.999756953033611,6.999614051360054,-0.0015001494523327796,-0.012001182114619023,-0.04050391367666451,-0.09600902478829876,-0.18751699354018458,-0.32402802794558505,-0.5145419984234066
0.0020001986862688537,0.004000389370145231,0.006000564049268672,0.00800071472134275,0.01000083338416708,0.012000912035669347,0.014000942673937311,0.999997999600607,1.9999839968208617,2.9999459893604445,3.9998719750790976,4.999749952076659,5.999567918773088,6.999313873988494,-0.0020001986862688537,-0.016001557480580925,-0.05400507644341805,-0.128011435541484,-0.250020834604177,-0.4320328332840965,-0.6860461910229283
0.0025002474200552416,0.005000479210446472,0.007500679741607384,0.01000083338416708,0.012500924509047778,0.015000937487562501,0.017500856691512797,0.9999968743765345,1.9999749950513541,2.9999156085181338,3.9997999616613273,4.999609301951551,5.999324877640966,6.998927937958648,-0.0025002474200552416,-0.02000191684178589,-0.06750611767446646,-0.1600133341466733,-0.31252311272619443,-0.54003374955225,-0.857541977884127
0.003000295528654756,0.006000564049268672,0.009000778554044029,0.012000912035669347,0.015000937487562501,0.018000827904113822,0.021000556280929214,0.9999954991032414,1.999963992906963,2.9998784765168054,3.999711945848725,4.9994373980341384,5.999027831825053,6.998456247999174,-0.003000295528654756,-0.02400225619707469,-0.08100700698639626,-0.19201459257070955,-0.37502343718906256,-0.6480298045480977,-1.0290272577655315
0.003500342887030367,0.007000642886327031,0.01050085711068177,0.014000942673937311,0.017500856691512794,0.021000556280929217,0.024499998562334837,0.9999938737810713,1.999950990398693,2.9998345934400232,3.999607927993425,4.9992342413990345,5.998676783999292,6.997898809889425,-0.003500342887030367,-0.028002571545308125,-0.09450771399613593,-0.22401508278299698,-0.43752141728781985,-0.7560200261134519,-1.200499929554407
0.004000389370145231,0.00800071472134275,0.012000912035669347,0.016000917297250818,0.020000666493286405,0.024000095615073214,0.027999140659030565,0.9999919984104308,1.9999359875395488,2.999783959386544,3.9994879085115813,4.998999833316221,5.998271737323746,6.997255630459375,-0.004000389370145231,-0.032002858885371,-0.10800820832102412,-0.2560146767560131,-0.5000166623321601,-0.8640034421426357,-1.3719578922924978
0.004500434852962724,0.00900077855404403,0.013500939953208693,0.018000827904113826,0.022500351265954982,0.026999418905312097,0.03149793969799531,0.999989872991789,1.9999189843445369,2.9997265744703165,3.9993518878833685,4.998734175251042,5.9978126954445585,6.996526717589542,-0.004500434852962724,-0.03600311421617612,-0.12150845957887824,-0.2880132464658212,-0.5625087816488745,-0.9719790805912355,-1.5433990452017703
